Processo;Cidade;Estado;Tipo;Endereço;Avaliação;% Leilão;Data Início;Data Fim;Arremate;ITBI (3%);Cartório (5%);Leiloeiro (5%);Honorários (5%);Custos;Lucro;ROI;Score;Status
0063632-43.2013.8.13.0701;Tupaciguara;MG;Fazenda;Fazenda Santa Lucia, 0 - Confusão - 50 Km - Tupaciguara/MG - CEP: 38.480-000;R$21.611.155,50;50%;13/03/2026;05/05/2026;R$ 10.805.577,75;R$ 324.167,33;R$ 540.278,89;R$ 540.278,89;R$ 540.278,89;R$ 12.750.581,75;R$ 8.860.573,76;69,49%;55;VERMELHO
0038844-06.2013.8.13.0073;Francisco Dumont;MG;Imóvel Rural;Fazenda Espírito Santo, Francisco Dumont/MG;R$14.722.200,00;50%;23/04/2026;23/04/2026;R$ 7.361.100,00;R$ 220.833,00;R$ 368.055,00;R$ 368.055,00;R$ 368.055,00;R$ 8.686.098,00;R$ 6.036.102,00;69,49%;70;AMARELO
0000320-08.2024.5.06.0005;RECIFE;PE;Veículo;RUA DE APIPUCOS, 117, APTO. 2201, MONTEIRO, RECIFE, PE, CEP: 52071-640;R$2.100.000,00;50%;13/03/2026;13/07/2026;R$ 1.050.000,00;R$ 31.500,00;R$ 52.500,00;R$ 52.500,00;R$ 52.500,00;R$ 1.239.000,00;R$ 861.000,00;69,49%;90;VERDE
0001978-83.2010.8.16.0052;Salgado Filho;PR;Imóvel Rural;Gleba n° 11-BA, do Núcleo Barracão, da Colônia Missões, n° 28, Salgado Filho;R$1.503.587,31;100%;16/04/2026;27/04/2026;R$ 1.503.587,31;R$ 45.107,62;R$ 75.179,37;R$ 75.179,37;R$ 75.179,37;R$ 1.774.233,03;-R$ 270.645,72;-15,25%;30;VERMELHO
0000320-34.2022.5.12.0062;Penápolis;SP;Prédio Residencial;Rua das Palmas, nº 40, Conjunto Habitacional Silvia Covas, Bairro: Silvia Covas;R$950.000,00;100%;06/05/2026;13/05/2026;R$ 950.000,00;R$ 28.500,00;R$ 47.500,00;R$ 47.500,00;R$ 47.500,00;R$ 1.121.000,00;-R$ 171.000,00;-15,25%;55;VERMELHO
0001251-10.2017.5.06.0020;PAULISTA;PE;Casa;Av. Dr. Cláudio José Gueiros Leite, no 8228, casa 54, Nossa Senhora do Ó, Paulista-PE;R$800.000,00;60%;14/03/2026;13/07/2026;R$ 480.000,00;R$ 14.400,00;R$ 24.000,00;R$ 24.000,00;R$ 24.000,00;R$ 566.400,00;R$ 233.600,00;41,24%;55;VERMELHO
0044377-11.2000.8.26.0114;Campinas;SP;Apartamento;Rua Guilherme da Silva, nº 74;R$789.255,66;80%;07/04/2026;30/04/2026;R$ 631.404,53;R$ 18.942,14;R$ 31.570,23;R$ 31.570,23;R$ 31.570,23;R$ 745.057,34;R$ 44.198,32;5,93%;65;AMARELO
0014028-18.2011.8.16.0017;Cascavel;PR;Terreno;Rua Benjamin Constant, 559 - Parque São Paulo, Cascavel - PR, CEP 85803-580;R$756.844,63;60%;07/05/2026;12/05/2026;R$ 454.106,78;R$ 13.623,20;R$ 22.705,34;R$ 22.705,34;R$ 22.705,34;R$ 535.846,00;R$ 220.998,63;41,24%;100;VERDE
0045621-98.2012.8.13.0151;Cássia;MG;Imóvel Rural;Zona Rural, Sítio Bom Jesus, Cássia, MG, CEP 37980-000;R$755.925,62;70%;13/03/2026;30/03/2026;R$ 529.147,93;R$ 15.874,44;R$ 26.457,40;R$ 26.457,40;R$ 26.457,40;R$ 624.394,56;R$ 131.531,06;21,07%;25;VERMELHO
0004434-61.2019.8.16.0158;São Mateus do Sul;PR;Terreno Rural;Área rural em Mana Joana, confrontando ao Sul com a Estrada Geral S.M.S-Porto Ribeiro, São Mateus do Sul, PR.;R$732.000,00;50%;09/04/2026;16/04/2026;R$ 366.000,00;R$ 10.980,00;R$ 18.300,00;R$ 18.300,00;R$ 18.300,00;R$ 431.880,00;R$ 300.120,00;69,49%;70;AMARELO
0001244-91.2021.8.26.0045;Arujá;SP;Casa;Rua Cobre, 167;R$700.000,00;60%;23/03/2026;15/04/2026;R$ 420.000,00;R$ 12.600,00;R$ 21.000,00;R$ 21.000,00;R$ 21.000,00;R$ 495.600,00;R$ 204.400,00;41,24%;80;VERDE
